#	Hex	Location	Bank[1]
131 	0x83 	Celadon Mansion 4F 	12
132 	0x84 	Celadon Mansion 4F (Eevee building) 	7
133 	0x85 	Pokémon Center (Celadon City) 	12
134 	0x86 	Gym (Celadon City) 	12
135 	0x87 	Rocket Game Corner (Celadon City) 	12
136 	0x88 	Celadon Department Store 5F 	12
137 	0x89 	Prize corner (Celadon City) 	12
138 	0x8A 	Restaurant (Celadon City) 	12
139 	0x8B 	House with Team Rocket members (Celadon City) 	12
140 	0x8C 	Hotel (Celadon City) 	12
141 	0x8D 	Pokémon Center (Lavender Town) 	17
142 	0x8E 	Pokémon Tower 1F 	18
143 	0x8F 	Pokémon Tower 2F 	18
144 	0x90 	Pokémon Tower 3F 	18
145 	0x91 	Pokémon Tower 4F 	18
146 	0x92 	Pokémon Tower 5F 	18
147 	0x93 	Pokémon Tower 6F 	18
148 	0x94 	Pokémon Tower 7F 	18
149 	0x95 	Mr. Fuji's house (Lavender Town) 	7
150 	0x96 	Poké Mart (Lavender Town) 	17
151 	0x97 	House with NPC discussing Cubone's mother 	7
152 	0x98 	Poké Mart (Fuchsia City) 	7
153 	0x99 	House with NPCs discussing Bill (Fuchsia City) 	1D
154 	0x9A 	Pokémon Center (Fuchsia City) 	1D
155 	0x9B 	Warden's house (Fuchsia City) 	1D
156 	0x9C 	Safari Zone gate (Fuchsia City) 	1D
157 	0x9D 	Gym (Fuchsia City) 	1D
158 	0x9E 	House with NPCs discussing Baoba (Fuchsia City) 	1D
159 	0x9F 	Seafoam Islands 	11
160 	0xA0 	Seafoam Islands 	11
161 	0xA1 	Seafoam Islands 	11
162 	0xA2 	Seafoam Islands 	11
163 	0xA3 	Vermilion City Fishing Brother 	15
164 	0xA4 	Fuchsia City Fishing Brother 	15
165 	0xA5 	Pokémon Mansion (1F) 	11
166 	0xA6 	Gym (Cinnabar Island) 	1D
167 	0xA7 	Pokémon Lab (Cinnabar Island) 	1D
168 	0xA8 	Pokémon Lab - Trade room (Cinnabar Island) 	1D
169 	0xA9 	Pokémon Lab - Room with scientists (Cinnabar Island) 	1D
170 	0xAA 	Pokémon Lab - Fossil resurrection room (Cinnabar Island) 	1D
171 	0xAB 	Pokémon Center (Cinnabar Island) 	1D
172 	0xAC 	Poké Mart (Cinnabar Island) 	1D
173 	0xAD 	Poké Mart - alternative music (Cinnabar Island) 	1D
174 	0xAE 	Pokémon Center (Indigo Plateau) 	6
175 	0xAF 	Copycat's house 1F (Saffron City) 	1D
176 	0xB0 	Copycat's house 2F (Saffron City) 	17
177 	0xB1 	Fighting Dojo (Saffron City) 	17
178 	0xB2 	Gym (Saffron City) 	17
179 	0xB3 	House with Pidgey (Saffron City) 	7
180 	0xB4 	Poké Mart (Saffron City) 	17
181 	0xB5 	Silph Co. 1F 	17
182 	0xB6 	Pokémon Center (Saffron City) 	17
183 	0xB7 	Mr. Psychic's house (Saffron City) 	7
184 	0xB8 	Gate 1F (Route 15) 	12
185 	0xB9 	Gate 2F (Route 15) 	12
186 	0xBA 	Gate 1F (Cycling Road) (Route 16) 	12
187 	0xBB 	Gate 2F (Cycling Road) (Route 16) 	12
188 	0xBC 	Secret house (Cycling Road) (Route 16) 	7
189 	0xBD 	Route 12 Fishing Brother 	15
190 	0xBE 	Gate 1F (Route 18) 	12
191 	0xBF 	Gate 2F (Route 18) 	12
192 	0xC0 	Seafoam Islands 	11
193 	0xC1 	Badges check gate (Route 22) 	7
194 	0xC2 	Victory Road 	14
195 	0xC3 	Gate 2F (Route 12) 	12
196 	0xC4 	House with NPC and HM moves advice (Vermilion City) 	6
197 	0xC5 	Diglett's Cave 	18
198 	0xC6 	Victory Road 	11
199 	0xC7 	Team Rocket Hideout (B1F) 	11
200 	0xC8 	Team Rocket Hideout (B2F) 	11
201 	0xC9 	Team Rocket Hideout (B3F) 	11
202 	0xCA 	Team Rocket Hideout (B4F) 	11
203 	0xCB 	Team Rocket Hideout (Lift) 	11
204 	0xCC 	Unused (Team Rocket Hideout) 	1
205 	0xCD 	Unused (Team Rocket Hideout) 	1
206 	0xCE 	Unused (Team Rocket Hideout) 	1
207 	0xCF 	Silph Co. (2F) 	16
208 	0xD0 	Silph Co. (3F) 	16
209 	0xD1 	Silph Co. (4F) 	6
210 	0xD2 	Silph Co. (5F) 	6
211 	0xD3 	Silph Co. (6F) 	6
212 	0xD4 	Silph Co. (7F) 	14
213 	0xD5 	Silph Co. (8F) 	15
214 	0xD6 	Pokémon Mansion (2F) 	14
215 	0xD7 	Pokémon Mansion (3F) 	14
216 	0xD8 	Pokémon Mansion (B1F) 	14
217 	0xD9 	Safari Zone (Area 1) 	11
218 	0xDA 	Safari Zone (Area 2) 	11
219 	0xDB 	Safari Zone (Area 3) 	12
220 	0xDC 	Safari Zone (Entrance) 	11
221 	0xDD 	Safari Zone (Rest house 1) 	11
222 	0xDE 	Safari Zone (Prize house) 	12
223 	0xDF 	Safari Zone (Rest house 2) 	11
224 	0xE0 	Safari Zone (Rest house 3) 	11
225 	0xE1 	Safari Zone (Rest house 4) 	11
226 	0xE2 	Cerulean Cave 	11
227 	0xE3 	Cerulean Cave 1F 	11
228 	0xE4 	Cerulean Cave B1F 	1D
229 	0xE5 	Name Rater's house (Lavender Town) 	7
230 	0xE6 	Cerulean City (Gym Badge man) 	1D
231 	0xE7 	Unused (Rock Tunnel) 	1
232 	0xE8 	Rock Tunnel 	11
233 	0xE9 	Silph Co. 9F 	17
234 	0xEA 	Silph Co. 10F 	16
235 	0xEB 	Silph Co. 11F 	18
236 	0xEC 	Silph Co. Lift 	11
237 	0xED 	(Invalid) 	11
238 	0xEE 	(Invalid) 	11
239 	0xEF 	Cable Club Trade Center(*) 	13
240 	0xF0 	Cable Club Colosseum(*) 	13
241 	0xF1 	(Invalid) 	11
242 	0xF2 	(Invalid) 	11
243 	0xF3 	(Invalid) 	11
244 	0xF4 	(Invalid) 	11
245 	0xF5 	Lorelei's room 	1D
246 	0xF6 	Bruno's room 	1D
247 	0xF7 	Agatha's room 	1D
